result.feature	result.pvalue	result.fdr	result.coef	result.mean.0	result.mean.1	result.mean.0.w	result.mean.1.w
13q33.2	0.0533961563264815	0.448623063421599	0.11365869035923	-0.09	0.0333333333333333	-0.0782630345538394	0.0353956558053904
13q33.3	0.0407433785983573	0.383395192610542	0.117518352582612	-0.0933333333333333	0.0333333333333333	-0.0821226967772219	0.0353956558053904
13q34	0.112376763519111	0.570054439391871	0.0983172389065723	-0.08	0.0444444444444444	-0.0621965083186366	0.0361207305879358
13q34.1	0.0205910016785179	0.296916175131006	0.139830557210393	-0.0766666666666667	0.0888888888888889	-0.0584403669258155	0.081390190284578
13q34.2	0.0254715302916191	0.319582800058848	0.133444371491524	-0.0933333333333333	0.0666666666666667	-0.0738760835710138	0.0595682879205107
14q11.2	0.644702853212936	0.908648315358951	-0.0261811429795215	0.0366666666666667	0.0111111111111111	0.0377360640331921	0.0115549210536706
14q12	0.543664517041411	0.876007381054739	0.0334652679130427	0	0.0444444444444444	0.00998622413442418	0.043451492047467
14q12.1	0.440189515327657	0.810197475036792	-0.0418717121849069	-0.00666666666666667	-0.0444444444444444	-0.00715435566084278	-0.0490260678457496
14q13.1	0.613235193801488	0.892017477250513	-0.0332468321640066	-0.04	-0.0666666666666667	-0.0436878257496808	-0.0769346579136874
14q13.2	0.79398994845832	0.965359905637884	0.0143094607609167	-0.01	0.0222222222222222	-0.00409934602473373	0.010210114736183
14q13.2.1	0.877691138120474	0.976489965886634	0.00824431360997573	-0.00333333333333333	0.0222222222222222	-0.00130896387885869	0.00693534973111706
14q13.3	0.930668739889265	0.985403794788766	-0.0043553866222428	-0.0166666666666667	0	-0.00551136429878589	-0.00986675092102873
14q21.1	0.730248677638426	0.933379252146236	0.0177613197511089	-0.03	0.0111111111111111	-0.0225497486862794	-0.00478842893517038
14q21.2	0.697113219137214	0.921202892048295	-0.0184569510746943	-0.0266666666666667	-0.0333333333333333	-0.0217142671925096	-0.0401712182672039
14q21.3	0.349047179711702	0.768041646638963	-0.0445779316036452	-0.0266666666666667	-0.0555555555555556	-0.0190408439961335	-0.0636187755997788
14q22.1	0.169929181602174	0.610318167510098	-0.0672207541386306	-0.02	-0.0666666666666667	0.00409453296863315	-0.0631262211699976
14q22.2	0.212756676489832	0.664999588085429	-0.0597216516544977	-0.00333333333333333	-0.0777777777777778	-0.00902018163375316	-0.0687418332882507
14q22.3	0.263152591893807	0.681701177755825	-0.0551378699508998	0.00666666666666667	-0.0555555555555556	0.00794427778475335	-0.0471935921661466
