result.feature	result.pvalue	result.fdr	result.coef	result.mean.0	result.mean.1	result.mean.0.w	result.mean.1.w
11q21	0.524509596241145	0.764567279787248	-0.0900020553445586	-0.103448275862069	-0.170454545454545	-0.133149839571352	-0.22315189491591
11q22.1	0.144126578412768	0.412423747458076	-0.223806875014196	-0.103448275862069	-0.193181818181818	-0.133149839571352	-0.356956714585548
11q22.2	0.128612618230866	0.394125790579696	-0.236505556715424	-0.0344827586206897	-0.227272727272727	-0.1113856370644	-0.347891193779823
11q22.3	0.308594508942517	0.580953062030867	-0.162904105543553	-0.0689655172413793	-0.238636363636364	-0.194654371025875	-0.357558476569427
11q23.1	0.721620026505483	0.897201369853073	-0.0537767367165407	-0.241379310344828	-0.329545454545455	-0.292885900261767	-0.346662636978307
11q23.2	0.911969263132225	0.981325258418964	-0.01589340992169	-0.275862068965517	-0.375	-0.341665869477459	-0.357559279399148
11q23.3	0.911969263132225	0.981325258418964	-0.01589340992169	-0.275862068965517	-0.375	-0.341665869477459	-0.357559279399148
11q24.1	0.857896947271529	0.96594904261072	-0.0255608265162476	-0.275862068965517	-0.409090909090909	-0.341665869477459	-0.367226695993706
11q24.2	0.857897322145891	0.96594904261072	-0.0255607596137708	-0.275862068965517	-0.397727272727273	-0.341665869477459	-0.367226629091229
11q24.3	0.711362523330115	0.891067560701177	-0.0532480502245416	-0.206896551724138	-0.386363636363636	-0.313978511964211	-0.367226562188752
11q25	0.665875987113579	0.85889690432126	0.066007762989697	-0.275862068965517	-0.386363636363636	-0.430772946717673	-0.364765183727975
12p11.1	0.952678108244669	0.984552873966013	0.00855803335662688	0.103448275862069	0.272727272727273	0.1587909569399	0.167348990296526
12p11.21	0.794948511148174	0.938932134985929	-0.038802172207519	0.172413793103448	0.295454545454545	0.217198166569373	0.178395994361853
12p11.22	0.865358941578579	0.968214954376738	-0.0271541329391411	0.137931034482759	0.409090909090909	0.231416073791808	0.204261940852666
12p11.23	0.799116615294657	0.939137630186577	-0.0389611704842372	0.137931034482759	0.397727272727273	0.243223044434427	0.204261873950189
12p12.1	0.956567084151556	0.984552873966013	0.00761794066481455	0.0344827586206897	0.352272727272727	0.188408857638629	0.196026798303443
12p12.2	0.956567084151556	0.984552873966013	0.00761794066481455	0.0344827586206897	0.352272727272727	0.188408857638629	0.196026798303443
12p12.3	0.219267503047953	0.499490162593547	-0.174308249322744	-0.0344827586206897	0.295454545454545	0.136602413272481	-0.037705836050264
12p13.1	0.0625887586917142	0.281195872383064	-0.255920091044531	0.0344827586206897	0.227272727272727	0.218213853579408	-0.0377062374651244
12p13.2	0.293800134463117	0.56923776052229	-0.152595609704691	-0.0344827586206897	0.25	0.114889506044521	-0.0377061036601709
12p13.31	0.759861171720653	0.923752796993734	-0.046179351048973	-0.0344827586206897	0.318181818181818	0.114889506044521	0.0687101549955473
12p13.32	0.934951025389189	0.984552873966013	-0.0127483973454	-0.0344827586206897	0.340909090909091	0.0814586861459017	0.0687102888005008
12p13.33	0.887866935696474	0.975027241538955	-0.0205525240030896	0.0689655172413793	0.329545454545455	0.124468015648357	0.103915491645267
12q12	0.937578334777799	0.984552873966013	0.0117648695194771	0.0689655172413793	0.25	0.121490960993597	0.133255830513073
