Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-4X-A9FC-01A-11D-A423-09	0	0	4.27079078049493	0	0	0.724558846576153	3.90211544480116	0	0	0	0	0	0	0	7.1030010022926	0	0.513000878734456	0	0	0	0	0	0	1.88377806064801	0	0	0	0	0	0
TCGA-4X-A9FD-01A-11D-A423-09	17.2046854563439	0	0	0	0	0	0	0	0	0	0	0	0	0	0.704377638951243	0	0	0	0	7.98731039147261	3.31800442574145	0	3.58888925089901	0.543489768187573	0	0	0	0	0	0
TCGA-5G-A9ZZ-01A-31D-A423-09	2.17095759056377	0.480891452196846	0	0	0	0	3.54709268059705	5.69403859016722	0	0.544601657298012	0	0	0.0263499684958629	0	1.83643724063924	0	0	0.635807921327317	0	0	0	0	0	0	0	1.88669124455027	0	0	0	0
TCGA-5K-AAAP-01A-11D-A423-09	8.99217917618799	0	0	4.69332795800447	0	0	0	0.0452789758809651	0	7.53703954029511	0	1.90001590282829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49230604401231	0	0
TCGA-5V-A9RR-01A-11D-A423-09	0	0	4.41662866983661	0	0	0.191606682285818	0	0	0	0.466110151742529	0	0	0	0	2.21854187776465	6.99653639185852	0	0	0	0	1.78588734885284	0.318413126589105	0.596446245305672	0	0	0	0	0	0	0.459703940053607
TCGA-X7-A8DG-01A-11D-A423-09	0.163838292363952	0	0	0	0	0	0.11042352247339	0	0	1.14972141611403	0	0	0	0	4.31993162764394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-X7-A8DJ-01A-11D-A423-09	4.33128878759867	0	0	1.75261962257745	0	0	0	0	0	0	0	0	0	0	0.0389462235162597	9.04357318479217	0.00186320968872868	0	0.0576109277074298	0	0	2.20554198136875	0	0	0	0	0	0	0	0
TCGA-XH-A853-01A-11D-A423-09	4.48569824661102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2730247090489	0	0	0	0	0.500553406246485	0	0	3.47242188380079	0	3.13279277925788
TCGA-XM-A8R8-01A-11D-A423-09	0	0	0	1.12872575653268	0	0	0	0	0	0	0	0	0	1.48171230819405	0	0	0	0	0	7.21278685963677	0	0	1.41180896415974	0	0	0	0	0	6.55649867135704	0
TCGA-XM-A8R9-01A-31D-A423-09	4.37719889401929	0.0895704546788089	0	0	0	0	0	0	0	0	0	0	0	0	3.2698670255661	3.44455569781395	0	0	0	0	0	2.3598858095463	0	0	4.19304791681903	0	0	1.85566671152063	0	0.27847596193884
