Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29
TCGA-AH-6643-01A-11D-1826-10	62.1024471462807	0	0	0	3.81092615041771	0	0	0	1.57683244296616	0	0	0	0	0	0	52.3403158123927	0	0	0	0	0	0	0	0	0	0.755811328585398	0	0
TCGA-AH-6897-01A-11D-1924-10	88.4388746807568	2.86628292248831	0	0	0	3.14222822502803	0	0	0	0	0	0	0	0	0	0	6.66756490254908	0	0	0	1.89483149691332	0	0	0	0	0	0	0
TCGA-AH-6903-01A-11D-1924-10	48.8508996497235	1.59124657265538	0	0	0.0263847495506432	0	4.89406702490156	0	2.81215683341298	0	0	0	0	0	0	4.10086893898743	0	0	2.6849651215897	1.42411937841178	2.47870598470399	0	0	0	0	1.04670591337701	0	0
TCGA-DC-4745-01A-01D-1733-10	60.3532500917173	2.28565240994326	0	0	0	0	0	0	0.0447890973514098	0	0	2.94073809792679	0	0	0	0	6.26785568218156	0	0	0	1.04609300798449	0	0	0	0	0	1.95473744296164	0
TCGA-DC-4749-01A-01D-1733-10	66.1603105183807	0	0	0	0	0	0	0	2.84998948099098	0	0	1.84936317743984	0	5.89300364710049	1.23103174478151	0	0	0	0	0	0	0	0	0	4.63430501989488	0	0.306067994953213	0
TCGA-DC-5337-01A-01D-1657-10	78.6654964572244	0	0	0	42.9697891172762	0	0	0	6.49323429845691	0	0	0	0	1.74677321725644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DC-5869-01A-01D-1657-10	57.2830263378052	0.453528286918044	0	0	0	1.39560221620345	0	0	1.15248082853592	0	7.23817301060748	2.59430337728314	0	0	0	6.40603848383698	0	0	0	0	1.22891451773046	0	0.654200478142287	0	0	0	0	2.81221972564437
TCGA-DC-6154-01A-31D-1924-10	59.107556890556	0	0	0	0.0994476322089471	0	7.31369891803014	0	10.2770789874992	0	0	0.244379743832193	7.45388777585631	0	0	0.650393936621217	14.4438488546477	2.06245640832756	0	0	0	0	2.25377559185914	0	4.3545228743164	0	0	0
TCGA-DC-6155-01A-11D-1657-10	24.4249237357067	0	0	0	6.59654973353708	2.00011534729849	7.48421948063499	0	4.71432255805063	0	0	2.67126491511067	0	8.041816756801	0	0	0	0	0	0	0	0	0	0	0	0	3.27990363297756	0
TCGA-DC-6157-01A-11D-1657-10	57.9046263061084	0	0	0	14.0206616293246	0	0	0	2.74368502176886	0	0	3.78933951678484	0	3.59296047507779	0	3.54697804613902	0	0	0	0	0.534908733799309	0	0	0	0	0	0	6.34487177544041
