Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.28	Signature.29	Signature.30
TCGA-WC-A883-01A-12D-A39W-08	3.45718675938256	0	0	0	0	0	0	0	0.254449222883345	0	0	0	0	0	0	0	0	2.60694398568114	2.45078324420068	0	0.400257007015831	0	1.61236768471355	0	0.0127114287258879	0	0.353024225325341
TCGA-WC-A884-01A-11D-A39W-08	7.76178250190828	1.00962376064888	0	0	0	1.17290179977981	0	0	0	0	0	0	2.14710093120015	0	0	0	0	0	0	2.29735632067847	0	0	0	0	0	0	0
TCGA-WC-A885-01A-11D-A39W-08	8.86376300646376	0	3.18786737931947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727945938662308	0.506819330336338	2.14546748367154	0.0961674631435011	0	0	0	0	0	0
TCGA-WC-A888-01A-11D-A39W-08	3.06025590574766	0	0	0	0	2.25300026594046	0	0	0	0	0	1.10701896948956	3.35025266000809	0.247964017175857	0	1.38434623112644	0	0	0	2.43504801467287	0	0	0	0.846098025565372	0	0	0
TCGA-WC-A88A-01A-11D-A39W-08	9.04801692178298	0	0	0	0	0	0	0	0	0	0	0.933127805958983	0	0	0.274289996704191	0	0	0	3.69679167490583	2.08474842889485	0	0	0	0	0	1.65723078406858	0
TCGA-WC-AA9A-01A-11D-A39W-08	0	0	1.36933161456928	1.54496342412639	3.90625771082527	0	0	0	0.624706513923033	0	0	0	0.501899200237933	0	2.37620705445912	0	0	0	0	2.09461619656174	1.32083715390905	0	0	0	0	0	0
TCGA-WC-AA9E-01A-11D-A39W-08	11.3145507453079	0	0	0	0	0.941081445150437	0	0	0	0	0	0	0.788591652216873	0	0	0.0866200672136479	0	0	0	1.89755046009908	0	0	0	0	0	0	0
TCGA-YZ-A980-01A-11D-A39W-08	0	0	0	0	0	1.73846855668919	0	0	0	0	0	0	2.17247985879398	0	0	0	0	0	0	2.44487424411666	0	0	0	1.63640783980244	0	0	0
TCGA-YZ-A982-01A-11D-A39W-08	15.8981678062615	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45570331470366	0	0	0.519126560215111	1.77769387886619	3.37657823014873	2.21700431966254	0	0	0	0	0	0
TCGA-YZ-A983-01A-11D-A39W-08	9.93224701074058	0.505445986608881	0	0	0	0	0	0	0	0	1.1722833023304	0	0	0	0	0	0	0	0	0	0	2.925112631438	0	2.87045865540921	0.108214114387801	0.0274427697391392	0
TCGA-YZ-A984-01A-11D-A39W-08	0	0	0	0.196386459701499	2.43778734246779	0	2.82308512110757	0	0	0	0	0	0	0.912271566767326	0	0	0	0	0	0	0	0.302712803550917	0	0	0	0	2.42925604135517
TCGA-YZ-A985-01A-11D-A39W-08	719.375151305422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
