Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-2Y-A9H1-01A-11D-A382-10	5.90416075115902	1.33851847480998	29.2799677223791	5.67560187698155	0	2.27260083088979	1.85604935354185	0	0	0.935875574192216	10.1867082452703	11.9459627616298	0.143908314541981	0.160077440114328	0	30.0439134594933	5.08040106658481	0	4.36325443810454	0	0	5.11947255362434	0	5.56036066538616	0	0	0	0	5.91075534169255	0
TCGA-2Y-A9H3-01A-11D-A382-10	6.65721378810143	2.69872387317641	73.5428484462825	9.77051454887017	0	19.2570879363922	0	0	0	1.45401044034841	0	6.41188863251455	0	0	0	0	3.33926932154799	0.565996998953995	21.4682928726799	0	16.8622064246928	4.96434460614654	0	16.5613719601847	0	0	0	0	0	0
TCGA-2Y-A9H4-01A-11D-A382-10	5.99329269679249	0.739323535075455	0	4.04974706119775	0	0	6.46148446254052	6.04072808939834	3.09925268033126	0	0	4.41152665045748	0	0	3.87773688459009	3.58875952801406	0	0	11.2015095997373	0	2.46473376009189	0.704295709040747	0	8.7132615462646	0	0	0	4.87744081442426	3.8133871514181	0
TCGA-2Y-A9H5-01A-11D-A382-10	9.25341088183031	5.32321630851323	0	0	2.2569696522386	21.4377866887134	5.23771045964748	1.58125191175684	0	5.59570319710867	0	6.52773939204715	0	0	0	0	2.16840190422187	0	0	0	0.398753626566702	1.21879332016623	0	9.14102982111095	3.54339843263806	0	0	0	0	0.887478866915877
TCGA-2Y-A9H6-01A-11D-A38X-10	6.73989438553844	0	0	0	0	8.26107702495398	4.52916253555327	0	0	0	9.02680044985201	9.36843732254328	0	0	0	11.8581305560002	0	0	0	1.720447289644	0	0	0	9.6294999349072	0	1.22837374213105	0	0	1.66146008881491	0
TCGA-2Y-A9H7-01A-11D-A38X-10	18.3740472850233	0	17.4127800354051	0	0	7.39579143395669	7.62592546770498	4.59483163375797	1.66131416685817	0	0	0	0	0	0	0	0	1.82005265741672	0	7.66782823908646	0	6.67980346183481	0	11.6858157690291	0	0	0	0.497493403726187	0	0
TCGA-2Y-A9H9-01A-21D-A38X-10	17.2768424244819	0	0	31.345346737857	0	27.0015494918162	0	0	0	6.2636053156097	0	3.18189911572001	3.75532467756641	0	0	36.0181483443316	1.97007992446328	5.95368863829103	0	0	0	0.742647056388013	0	0	0	0	0	0	0	0
TCGA-2Y-A9HA-01A-11D-A38X-10	21.0933915307519	5.56806773509788	0	33.429475575801	0	0	0	0.616698192972819	0	3.30835993957142	6.58713756384483	0	1.44181486527773	0	14.4288070392688	24.2235830509204	0	1.11790923729859	0	0	11.1336918244383	1.57939954010745	0	9.80091617832717	0	4.12730406504607	0	9.99417829332368	10.2662349762475	0
TCGA-2Y-A9HB-01A-11D-A38X-10	0	0	9.78055073106207	9.69907713367758	5.74289474388346	9.15293602009687	5.39647255737247	0	0	0	0	0	0	0	15.4054984167594	0	1.24890066471146	7.57651865756365	0	0	0	2.84939033392232	0	0	0	4.80541378111196	0	2.66672186324539	2.09691865544937	0
TCGA-3K-AAZ8-01A-12D-A38X-10	2.97081044707302	0	0	24.0497689723681	0	19.6751748551142	0	0	0.0107626217042856	0	2.3122685830167	6.59483029067767	1.31397115796103	0	0	22.5215027357891	0	0	0	0	9.58160723210334	13.005355752523	4.09505019694982	13.5550535767784	0	0	0	5.40226782227543	0	12.4065351109193
TCGA-5C-A9VG-01A-11D-A36X-10	30.1364280401801	0	40.106953486453	0	0	5.57463130335485	0	0	0	2.57793325377546	0	0	0.911656207684322	0	17.2415979275274	0	0.00895585052379679	0	0	0	3.03224117340549	0	0	0	0	0	0.852416135854685	9.29737725908212	3.28225602705773	18.6015148329954
TCGA-5C-A9VH-01A-11D-A36X-10	12.4091028631548	0	5.70362765202064	8.34204037580997	0	0	6.97756347380785	0	0	0.594904717579639	0	4.78558077863759	5.44457770100198	0	0	9.17544757661578	0	0	0	23.7938347341066	0	3.73439984125457	0	21.0263126594997	0	0	0	0.50415296726412	0	0
TCGA-5C-AAPD-01A-21D-A38X-10	7.56181128323799	0	0	20.8470340248924	0	0	4.64551317729749	0	6.80436589230728	0.534563454977971	3.16566347984646	0	0.427076511351658	0	0.840545626469028	3.00604897041742	3.35413891865233	2.08907844654445	0	0	0	0	0.375767437680973	0	0	8.11394580614781	0	0	0	0
TCGA-5R-AA1C-01A-11D-A40R-10	0	0	1.60593873314765	12.5071617494077	0	10.1679390015138	0	19.7426414644613	0	1.92315148456396	0	12.9596793256457	4.39237977264391	0	0.582296450634346	1.37360324068509	0	4.99763924637937	0	0	1.85420702196955	9.58397539475224	1.06179654564885	0	0	0	0	2.04276683959435	0	16.5526196495708
TCGA-5R-AA1D-01A-11D-A382-10	8.10503779856293	0.540057069141821	0	0	0	0	0	0	0	0	0	0	1.48056491108836	0	0	2.34026823471849	0	0	0	1.67422280182309	0	2.62186839121318	0.695545013560446	0	0	0	2.24102203702475	0	0	0
TCGA-5R-AAAM-01A-12D-A40R-10	0	0	16.202218861566	8.42169990771069	0	29.248958922301	0.0507600288382936	0	0	0.545242983737626	0	3.03861654756964	3.32378667779421	0	5.28075349360154	12.2385110078122	0	0	0	0	0	4.54540068644991	0	4.70889670463254	0	0	0	0	0	0.52528804748163
TCGA-BC-A10Y-01A-11D-A12Z-10	0.385969828590287	0	0	6.20110990713938	0	1.14617873855535	0	0.149154879764957	0	0	2.19692159875781	9.91673009054101	1.06156735956275	0	12.8304614602663	29.5980986417695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BC-A216-01A-11D-A152-10	22.2240256099709	0	1.4789356005513	0	0	0	0.846018254986395	0	0	0	0	0	0.0625941220506565	0	9.48721142591188	14.8552890284112	0	9.13104376227359	2.60891767144337	1.03107597505533	4.93212307745526	0	3.94362112860377	0	0	0	0	0	0	0
