Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-W5-AA30-01A-31D-A417-09	16.4551044497109	0	15.5623197076487	3.01135114901373	0	5.39321510190514	0	3.11590165755283	0.048677996716993	6.06271823938849	0	2.30912888896144	0	0	0	2.20063238634627	0	0	0	7.62567998087499	4.02515721016418	0	0	0	3.20124468107679	0	0	0	0
TCGA-W5-AA31-01A-11D-A417-09	0	0.663094056460926	1.24350696898056	7.7956029120811	3.36774927296931	5.73001686807076	0	0	0	0	3.51316813834647	0.878142693289258	0	6.6345177010708	5.04664889943607	0	1.33816917262589	0	0.391510472922686	0	0	0	1.710358658305	0	0	0.466194297483594	1.72886373440349	6.23678324214314	4.10873625543489
TCGA-W5-AA33-01A-11D-A417-09	15.0174703647048	0.0395965586040809	0	0	0	0.235207226150608	0	0	0	0	0	0	0	6.17452400479892	0	0	8.14532586861742	0	0	0.58808254268089	0.207677946850392	2.13036167763565	0	0	0	0	0	3.70266130090604	2.06750353126218
TCGA-W5-AA34-01A-11D-A417-09	10.4824390853546	0	5.88236167232234	0	0	0	13.7956123007315	0	0	0	0	0	0	3.54051491844334	0	0	0	7.37982935631561	0	0	3.32344330573947	0	3.33147147915748	0	0	0	1.01195307900806	1.71201765319336	0
TCGA-W5-AA36-01A-11D-A417-09	9.94471218014825	0.457563711839898	2.50254014360528	0	0	0	4.29807558115884	0	1.84774812272811	0	0	1.32978220993509	0	3.11793425528496	0	0	21.2102084496819	0	0	1.35449970636015	0	1.08090294774369	0	0	0	0.200337004710317	0	0	10.3522772291054
TCGA-W5-AA38-01A-11D-A417-09	7.48200065516489	0	0.564553312723891	8.49642219756613	0	7.69869384706493	0	0	4.35520684695625	0	0	2.46922012192584	0	0	0	0.784163134381871	0	0	11.1376215635546	0	0	0	0	0	0	0	0	0	0
TCGA-W5-AA39-01A-11D-A417-09	0	1.47608408654579	77.6314679628114	68.4216062691497	20.4896877424154	0	0	88.748735059346	0	23.3257132068783	85.3389225839744	12.1330397093811	0	2.64001350858601	6.05124973128699	160.161352815839	0	0	0	0	48.3449583197698	15.7950294454023	11.5824012008208	0	39.3771222191227	0	253.836729141045	0	0.782106309662613
TCGA-W6-AA0S-01A-11D-A417-09	10.6293579459883	0	0	7.22912354274604	2.70836485985176	6.76326866232268	0	0	0	0	0	2.31268972524052	2.31500645142107	0.723346632628826	3.91942768785031	0	0.53497907007489	0	0	0	0	2.04500128424087	0	0	0	0	0	0	0.586134279028546
TCGA-WD-A7RX-01A-12D-A417-09	4.34291852829722	0.287265501386025	0	5.05971556838457	0	0	0	4.91386948388995	2.37231455471313	4.0030089436991	0	0	1.44412768196061	0	12.7945432168852	0	0	5.75263531773572	0	0	0	0	0	0	0	3.76406282035262	0	0	0
TCGA-YR-A95A-01A-12D-A417-09	12.3779566018073	0.453303888964413	0	3.44914703081249	2.98379268737739	0	0	0	6.34837666641148	0	0	0	0	5.21737801211973	0	0	2.41556368808033	0	1.92209769284192	2.64743635832109	0	0.700192439614459	0	0	0	0	0	0.81593975522023	0
TCGA-ZD-A8I3-01A-11D-A417-09	5.17907291213536	0	0	0	0	0.00945337487616061	12.1311036148748	0	0	0	2.37095509010798	4.13472499204564	0	12.2802942942268	0	0.993164322758295	1.13813424753345	0	0	0	0	0	0	0	0	0	0	0.450236427528068	0
TCGA-ZH-A8Y1-01A-11D-A417-09	5.72125731565945	0.437517932255926	7.60173513382295	0	0	1.93373713440321	12.0746660167841	0.0934718639442565	0	0.333324946749698	2.90476569634692	1.89386634023501	0	0	0	0.44964898028147	0	0	11.8543825547632	0	0	0	0	0	0	0	0	1.13773433629187	0
TCGA-ZH-A8Y2-01A-11D-A417-09	4.76732457529923	3.46089486913793	0	5.9470959170715	0	0	0	0	0	0	13.2052128815618	1.27862202413476	0	3.82573888294553	0	0	0	0	9.36308314712439	0	0	4.13529454285586	0	0	0	0	0	3.72316998157866	0
TCGA-ZH-A8Y4-01A-11D-A417-09	15.9127627015429	0	0	2.05674878692614	17.9163505311715	4.09277371251509	4.9129882185311	0	3.04537219963178	0	0	1.07271811252794	0	0.594517784337717	0	2.07069878960488	0	0	0	0	0	0	0	0	0	0	5.66162164032167	17.1917342948855	0
TCGA-ZH-A8Y5-01A-11D-A417-09	7.87234155670738	0	0	0	0	0	0	0	0.11665644695557	0	0	1.09346896876106	0	0	0	2.64144541147749	0	0	9.42353965035665	4.08340063063364	2.03074012782901	0	0	0	0.719165817955207	0	0.983523985905903	3.39453333004268	0
TCGA-ZH-A8Y6-01A-11D-A417-09	6.49537964658712	16.2542773328134	0	8.19233309393846	10.1716619966062	2.82286435048291	0	0	0	0	0	10.1976720814311	0	0	0	1.8490080742171	0	0.215719763646618	0	0	1.41415043137501	0	2.81614552890976	0	0	0	0	0	0
TCGA-ZH-A8Y8-01A-51D-A417-09	6.37398732730556	0	2.82723693544789	0	0	0	0	5.06702907046908	0	0	0	3.78136127984865	4.55161077105847	7.97655574110224	0	0	0	0	0	2.03671021732748	0.757391771443189	1.76719898895081	2.01702347131632	0	0	1.89293776637595	0	0	0
TCGA-ZU-A8S4-01A-11D-A417-09	0.573548405515351	0	22.234876311042	0	11.285760129835	0	0	0	0.886642008793827	0	0	0.439520912028244	0	10.5270900064124	1.22815912685757	0	4.48115233421273	0	0	1.3687337090094	0	3.51732137595205	0	0	0	0	2.78074456763069	0	0
