Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-4Z-AA87-01A-11D-A391-08	32.5281135193547	14.0536338559436	0	0	0	38.4228919463792	28.5015362084652	0	0	13.6517800975585	0	0	91.7959471813253	0	0	0	10.0945344913997	0	0	0	0	0.577225615912816	0	4.22047888236398	0	0	0	0	0	0
TCGA-4Z-AA89-01A-11D-A391-08	18.9253283532797	15.7191262598865	0	0	0	9.85608941222869	2.71725180037442	0	0	3.39684554580132	0	0	69.8990702864153	0	0	0	0	0	0	0	0.925680701804703	11.054772853759	0	0	0	0	0	0	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	24.0605708725566	24.487962778335	0	0	0	15.7823838106938	27.1512216571299	0	0	13.5773563809748	0	0	26.7472483110403	0	0	0	1.27224464205271	0	0	0	0	7.83109058788117	0	0	0	2.6532443614946	0	0.539988067691015	8.3958296137065	0
TCGA-5N-A9KM-01A-11D-A42E-08	7.6736064967311	0.588551377181862	0	13.7804475373733	0	9.23902149858054	19.5232677753919	0	0	0	0	4.0308439958041	10.1597470176931	0	0	25.9449076041086	0	0	0	9.49444427901243	0	1.1479167146444	8.62509096367338	0.0114758365410278	4.69631829745535	39.1893910695926	0	0	10.7561028916568	18.6677825026712
TCGA-BL-A0C8-01A-11D-A271-08	31.2842506790618	11.8313580272236	0	0	0	14.9003882822171	6.47927913012938	0	0	7.59056360143913	0	0	29.9969449843803	0	0	0.15605384294425	1.30606549313763	0	0	0	0	0.641789493226133	0	0	0	2.17360824956756	0	0	0	0
TCGA-BL-A13I-01A-11D-A271-08	15.6355832456229	5.57078775923043	1.3475166870504	0	0	0	3.59289008526756	0	0	0	0	0	40.5496962991527	0	0	3.83119248856792	2.33422529649748	0	0	7.99105571003433	0	0	0.230012956175319	0	0	1.34788632701972	0	5.01277842086167	0	9.83030794027281
TCGA-BL-A13J-01A-11D-A271-08	29.819893878645	5.4834582764017	0	15.093046439329	0	0	0	0	0	0	0	0	28.4501655045169	0	0	15.8731860558024	0.179601764180753	0	0	0	0	0.672845531535793	3.55245455531808	0	0	0	0	0.80333949802956	0	1.14388203357367
TCGA-BL-A3JM-01A-12D-A21A-08	29.6923431950006	29.5072007193172	0	27.1840441174307	0	1.39292680391546	19.3667900329623	0	0	0	0	0	44.8562392274553	0	0	0	4.17915204765357	0	0	15.4767035475739	0	0	0	0	0	6.52288600151601	0	0	0	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	21.7674505013936	21.3843618330493	0	0.74419488354201	0	25.6420248021568	24.5054175589936	0	0	2.69954371968198	0	0	28.1454029311917	0	0	19.0233951749365	0	0	0	0	0	4.7056230651336	0	3.11638361070763	0	0	0	0	0	0
TCGA-BT-A2LD-01A-12D-A20D-08	50.6455919438574	2.88410532137486	0	0	0	14.9598729271842	8.9483110318571	0	0	0.586583320109382	0	0	12.9185892133445	0	9.31349132183477	0	0.0625196675811097	0	0	0	0	0	0	0	0	0	0	0	2.00091350422298	0
